comment_id,create_time,ip_location,note_id,content,user_id,nickname,avatar,sub_comment_count,pictures,parent_comment_id,last_modify_ts,like_count
67318f7f00000000190020b0,1731301247000,,669dbcb20000000025006f4e,已经开始收费了吧,5cbc6d6a0000000017024492,恰不恰呷,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g1sq7u402e05n5sdll5sh4i9eh05k8?imageView2/2/w/120/format/jpg,9,,0,1773049528498,1
67849215000000002200df0f,1736741398000,,669dbcb20000000025006f4e,那我为什么不用GPT呢,619c7192000000001000c3f5,阿华田,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31ag2sa3c7c005ocse6941gvll4vc5ko?imageView2/2/w/120/format/jpg,6,http://sns-webpic-qc.xhscdn.com/202603091745/bf9eb1ae4bf38c782c8749647d3614d3/comment/1040g2h031cj52flegu005ocse6941gvlifr8p70!nd_whlt34_webp_wm_1,0,1773049528500,1
6957bf48000000001d0262e2,1767358280000,江西,6955f2c3000000001e01605c,我还以为是豆包要收费。。,60a791c60000000001009433,容我喝杯82年的cola压压惊,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31rb21affn05g5o57i730951jlst6pdg?imageView2/2/w/120/format/jpg,7,,0,1773049531046,30
6955f3db0000000016020f5d,1767240668000,广东,6955f2c3000000001e01605c,哦豁，功能阉割了不少，还要收费啊,679328ad000000000e01e54e,胶圈,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31svcnlu7ls6g5psj52mjjpae7atkkag?imageView2/2/w/120/format/jpg,15,,0,1773049531047,90
6809115c000000000401db9c,1745424733000,新疆,67fa7037000000001c03cd70,冲了会员怎么找不到呢，需要用自己模版在哪里弄,59f709e911be1070aaee8f2b,A九月💋,https://sns-avatar-qc.xhscdn.com/avatar/651312d12831d102a950f2a3.jpg?imageView2/2/w/120/format/jpg,2,,0,1773049532244,2
69460940000000001d025775,1766197568000,广东,67fa7037000000001c03cd70,我都不知道哪里可以充会员，我想高高Pro会员，都找不到地方,5ec2c04100000000010010d9,momo,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31el947l952605nm2o10g846p2tenpo0?imageView2/2/w/120/format/jpg,0,,0,1773049532246,1
69819da40000000006030de4,1770102181000,河南,69717a6e000000000d009a28,国内付费意愿不如国外强烈，你看看但凡他们收费，立马使用人数会大幅度下滑,5b9b306ff7e8b922b8c93c26,callen,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30tirjbji4o004avjcio6uf16cc8i97g?imageView2/2/w/120/format/jpg,20,,0,1773049533511,127
6983427c000000000800da12,1770209917000,北京,69717a6e000000000d009a28,gpt免费啊[汗颜R]那里要收费,62914a3400000000210285e0,小红薯,https://sns-avatar-qc.xhscdn.com/avatar/d784fc20c996f3d2f39d034c404f234e.jpg?imageView2/2/w/120/format/jpg,21,,0,1773049533513,4
694b3735000000001600c058,1766537014000,浙江,694b32ad000000001e020f52,整个国内的AI都不是走的聊天收费这条路，你放心好了。,648fa97f000000001001e6b2,大翅膀,https://sns-avatar-qc.xhscdn.com/avatar/1000g2jo2mlml9kuju0605p4fl5vk3pli2l7n30g?imageView2/2/w/120/format/jpg,1,,0,1773049535921,1
69596d59000000001403d5e8,1767468377000,美国,69330151000000001b02415c,我在找豆包付费，请问在哪里,5b24e727e8ac2b2bd465b804,番茄是西红柿啊,https://sns-avatar-qc.xhscdn.com/avatar/5b24e727e8ac2b2bd465b804.jpg?imageView2/2/w/120/format/jpg,5,,0,1773049538445,2
6979e771000000000c017c20,1769596786000,云南,69330151000000001b02415c,手机能看积分吗,5c31d40a000000000703933a,努力挣钱的暖妈(代肝无暖),https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31mrp18986m0g5n1hqg51v4pqsn7dbv8?imageView2/2/w/120/format/jpg,2,,0,1773049538447,0
6971e1fc000000001d00d8c4,1769071100000,澳大利亚,6872fe420000000024009bfd,光便宜没用 要看性能 你说便宜mimo v2 flash便宜不便宜 deepseek v3.2便宜不便宜 还比混元强呢,5ebbf4bc00000000010020bd,DZeng,https://sns-avatar-qc.xhscdn.com/avatar/626358ab9a98239e35e4829f.jpg?imageView2/2/w/120/format/jpg,0,,0,1773049539708,0
6989c54200000000190025bc,1770636610000,福建,6872fe420000000024009bfd,国内大模型就是半成品,5b486e5f11be107e1ac08f86,AI布丁,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31smtglfmlk4g4a73tgn5v3s6l3ta5h0?imageView2/2/w/120/format/jpg,0,,0,1773049539710,0
